"Product Name","Product Type","Current QTY","Registration Time","NO. of Variants","In QTY","Total registered QTY"
"Photocard Wallets (Bear Shape)","","12","2021-12-27 16:54:58","3","0","0"
"Ramen Bundle (New Offer)","Noodles","2","2021-11-09 18:23:48","1","0","0"
"Red Velvet - Queendom (Girls Ver.)","Album","1","2021-11-06 16:33:14","1","0","0"
"Rosé - R (Photo Book) [Special Edition]","Photobook","1","2021-12-15 09:04:17","1","0","0"
"SEVENTEEN (Henggarae) (Official Poster)","Posters, Prints, & Visual Artwork","3","2021-10-13 15:57:33","1","0","0"
"Shin Ramyun Noodle Soup | Halal","Noodles","7","2021-09-19 15:33:04","2","0","0"
"Squid Game T-Shirts","T-Shirts","34","2021-11-01 17:30:21","3","0","0"
"Stickers (3 Different Colors Set.)","Accessories","0","2021-11-24 13:15:27","3","0","0"
"Stray Kids -  Cle 2 : Yellow Wood","Album","2","2021-11-11 15:56:59","2","0","0"
"Stray Kids - Clé : LEVANTER (Normal Edition)","Album","1","2021-11-11 17:02:55","1","0","0"
"Stray Kids - Clé : LEVANTER (Official Poster)","Posters, Prints, & Visual Artwork","0","2021-10-15 22:03:06","1","0","0"
"Stray Kids - Clé 1 : MIROH","Album","0","2021-10-10 11:26:00","2","0","0"
"Stray Kids - GO生 (GO LIVE) (Standard Edition)","Album","5","2021-10-03 17:53:27","3","0","0"
"Stray Kids - GO生 (GO LIVE) (Standard Edition) (Official Poster)","Posters, Prints, & Visual Artwork","0","2021-11-11 16:26:14","1","0","0"
"Stray Kids - Holiday Special Single 'Christmas EveL' (Limited Ver.)","Album","10","2021-12-26 00:00:56","1","0","0"
"Stray Kids - Holiday Special Single 'Christmas EveL' (Official Photocards)","","9","2021-12-30 16:30:20","2","0","0"
"Stray Kids - I am YOU","Album","1","2021-11-11 17:10:17","2","0","0"
"Stray Kids - IN生 (IN LIFE) (Limited Edition)","Album","0","2021-11-11 17:40:38","1","0","0"
"Stray Kids - Noeasy ""Popup Cards with 8 Photocards""","Photocards","0","2021-10-25 12:00:21","1","0","0"
"Stray Kids - NOEASY (Limited Edition)","Album","6","2021-10-22 23:53:35","1","0","0"
"Stray Kids - Noeasy (Limited Ver.) ""Big Photocards Set""","Photocards","13","2021-10-28 11:20:43","1","0","0"
"Stray Kids - NOEASY (Standard Edition)","Album","0","2021-10-15 22:29:03","2","0","0"
"Stray Kids - Repackage Album Vol.1 [IN生 (IN LIFE)] (STANDARD Ver.)","Album","1","2021-11-11 17:49:02","2","0","0"
"Stray Kids - World Tour 'District 9 : Unlock' in SEOUL DVD","Album","3","2021-10-10 12:31:58","1","0","0"
"STRAY KIDS- NO EASY (Official Poster)","Posters, Prints, & Visual Artwork","9","2021-10-24 21:49:39","1","0","0"
"STRAY KIDS- Season's Greeting 2021","Album","0","2021-12-25 21:20:48","1","0","0"
"TAEYEON - What Do I Call You- Official Poster","Poster","3","2021-12-25 11:06:32","2","0","0"
"THE BOYZ - Mini Album Vol.5 [CHASE]","Album","6","2021-11-13 22:58:35","4","0","0"
"THE BOYZ - Mini Album Vol.5 [CHASE]- Official Poster","Poster","0","2021-11-13 23:09:26","1","0","0"
"Top Loader - Photocard (10ea)","Photocards","1","2021-12-02 10:52:18","1","0","0"
"TREASURE - The First Step : Chapter One","Album","1","2021-10-15 23:07:42","2","0","0"
"TREASURE - The First Step : Chapter One (Official Poster)","Posters, Prints, & Visual Artwork","2","2021-10-13 16:31:22","1","0","0"
"TREASURE - The First Step : Chapter Two","Album","1","2021-11-25 20:45:16","1","0","0"
"True Beauty O.S.T - tvN Drama","Album","1","2021-12-20 09:06:34","1","0","0"
"TWICE -  YES or YES (Random Ver.)","Album","2","2021-10-10 12:37:51","1","0","0"
"TWICE - Eyes wide open","Album","2","2021-11-11 19:15:15","3","0","0"
"TWICE - Eyes wide open (Official Poster)","Posters, Prints, & Visual Artwork","3","2021-11-11 19:26:51","1","0","0"
"TWICE - FANCY YOU (Random Ver.)","Album","0","2021-10-10 12:52:39","1","0","0"
"TWICE - Formula of Love: O+T=<3","Album","7","2021-12-05 11:32:25","4","0","0"
"TWICE - Formula of Love: O+T=<3 (Official Poster)","Poster","8","2021-12-20 09:26:20","1","0","0"
"TWICE - MONOGRAPH Photobook [MORE & MORE]","Album","3","2021-10-10 12:54:45","1","0","0"
"TWICE - MORE & MORE (Random Ver.)","Album","1","2021-11-11 19:34:38","1","0","0"
"TWICE - TWICEcoaster : LANE 1 (Random Ver.)","Album","1","2021-11-11 19:22:48","1","0","0"
"TWICE (Eyes Wide Open)- Official Photocards (Set)","Photocards","0","2021-11-18 17:20:26","3","0","0"
"TWICE- Formula of Love (Photocard)","Photocards","6","2021-12-20 11:03:26","4","0","0"
"TWICE- Taste of Love- Photocards (SET)","Photocards","1","2021-12-25 21:42:48","1","0","0"
"TXT - 2022 SEASON'S GREETINGS","Album","1","2021-12-25 21:03:49","1","0","0"
"TXT - minisode1 : Blue Hour","Album","1","2021-10-17 16:32:38","3","0","0"
"TXT - THE CHAOS CHAPTER : FIGHT OR ESCAPE","Album","1","2021-10-17 16:42:17","2","0","0"
"TXT - THE CHAOS CHAPTER : FIGHT OR ESCAPE (TOGETHER Ver.)","Album","0","2021-10-17 16:54:04","2","0","0"
"TXT - THE DREAM CHAPER : ETERNITY","Album","1","2021-10-17 16:59:05","2","0","0"
"TXT - The Dream Chapter : Star","Album","0","2021-10-17 16:36:18","1","0","0"
"TXT (TOMORROW X TOGETHER) - THE CHAOS CHAPTER : FREEZE","Album","2","2021-12-27 14:39:46","3","0","0"
"TXT(TOMORROW X TOGETHER) - Album Vol.1 [The Dream Chapter : MAGIC] (Official Poster)","Posters, Prints, & Visual Artwork","1","2021-10-22 23:37:08","1","0","0"
"VICTON -  Voice : The future is now- Official Poster","Poster","4","2021-12-25 11:25:52","1","0","0"
"VT X BTS COLLAGEN PACT #21 + BTS - MAGIC HAND MIRROR 1ea (Random) / Gift : Mask Pack 1ea (Random)","Accessories","0","2021-11-27 11:21:11","1","0","0"
